,Unnamed: 0,Star_name,Distance,Mass,Radius,Unnamed: 6
489,148.0,SDSS J151114.66+060742.9 [de],89,,,
490,,,,,,
491,149.0,2MASSW J1515008+484742 [de],34,57,0.99,
492,,,,,,
493,150.0,2MASSI J1526140+204341 [de],67,54,0.98,
494,,,,,,
495,151.0,DENIS-P J153941.96-052042.4 [de],51,63,1,
496,,,,,,
497,152.0,2MASS J15462718-3325111 [de],37,44,0.94,
498,,,,,,
499,153.0,2MASSW J1552591+294849 [de],68,30,1.43,
500,,,,,,
501,154.0,2MASSW J1555157-095605 [de],44,71,1.03,
502,,,,,,
503,155.0,2MASS J16150413+1340079 [de],48,42,0.94,
504,,,,,,
505,156.0,SDSSp J162414.37+002915.6 [de],36,43,0.94,
506,,,,,,
507,157.0,2MASS J16262034+3925190 [de],110,71,1.03,
508,,,,,,
509,158.0,2MASSW J1632291+190441 [de],50,49,0.97,
510,,,,,,
511,159.0,WISEPA J164715.59+563208.2,28,41,0.94,
512,,,,,,
513,160.0,LSPM J1658+7027 [de],60,73,1.04,
514,,,,,,
515,161.0,2MASSI J1726000+153819,114,24,1.4,
516,,,,,,
517,162.0,2MASSW J1728114+394859,79,,,
518,,,,,,
519,163.0,SDSSp J175032.96+175903.9,90,47,0.97,
520,,,,,,
521,164.0,2MASS J18283572-4849046,39,45,0.95,
522,,,,,,
523,165.0,LSR J1835+3259,18.5,77,1.07,
524,,,,,,
525,166.0,2MASSW J1841086+311727,138,67,1.01,
526,,,,,,
527,167.0,2MASS J18432213+4040209,46,96,1.22,
528,,,,,,
529,168.0,2MASS J20004841-7523070,105,25,1.88,
530,,,,,,
531,169.0,SDSS J204749.61-071818.3,65,46,0.96,
532,,,,,,
533,170.0,2MASSI J2057540-025230,47,70,1.02,
534,,,,,,
535,171.0,2MASSW J2101154+175658,108,,,
536,,,,,,
537,172.0,2MASSI J2104149-103736,62,69,1.02,
538,,,,,,
539,173.0,PSO J318.5−22,80,6.5,1.53,
540,,,,,,
541,174.0,HB 2124-4228,113,94,1.21,
542,,,,,,
543,175.0,2MASS J21392676+0220226,32.1,46,0.96,
544,,,,,,
545,176.0,2MASS J21481628+4003593,26.3,55,0.99,
546,,,,,,
547,177.0,2MASS J14112131-2119503,,,,
548,,,,,,
549,178.0,2MASSW J2206450-421721,93,22,1.33,
550,,,,,,
551,179.0,2MASSW J2208136+292121,154,27,1.41,
552,,,,,,
553,180.0,2MASSW J2224438-015852,38,61,0.99,
554,,,,,,
555,181.0,2MASS J22282889-4310262,35,42,0.94,
556,,,,,,
557,182.0,2MASS J22373255+3922398,64,73,1.04,
558,,,,,,
559,183.0,2MASSW J2244316+204343,56,12,1.29,
560,,,,,,
561,184.0,2MASS J23224684-3133231,56,24,1.39,
562,,,,,,
563,185.0,2MASS J23225299-6151275,148,17,1.59,
564,,,,,,
565,186.0,2MASS J23515044-2537367,67,88,1.16,
566,,,,,,
567,187.0,2MASSI J2356547-155310,74,80,1.09,
568,,,,,,
569,188.0,WISE 0005+3737,23.2,,,
570,,,,,,
571,189.0,WISE 0008-1739,87.1,,,
572,,,,,,
573,190.0,WISE 0015-4615,48.6,,,
574,,,,,,
575,191.0,WISE 0031-3840,71.8,,,
576,,,,,,
577,192.0,WISE 0032-4946,62.9,,,
578,,,,,,
579,193.0,WISE 0038+2758,36.9,,,
580,,,,,,
581,194.0,WISE 0038+8405,101.8,,,
582,,,,,,
583,195.0,WISE 0040+0900,47.6,,,
584,,,,,,
585,196.0,WISE 0049+0441,62.6,,,
586,,,,,,
587,197.0,WISE 0049+2151,24.1,,,
588,,,,,,
589,198.0,WISE 0106+1518,142.9,,,
590,,,,,,
591,199.0,WISE 0123+4142,67.2,,,
592,,,,,,
593,200.0,WISE 0135+1715,77.3,,,
594,,,,,,
595,201.0,WISE 0138-0322,57.7,,,
596,,,,,,
597,202.0,WISE 0146+4234,20.5,,,
598,,,,,,
599,203.0,WISE 0148-7202,30,,,
600,,,,,,
601,204.0,WISE 0150+3827,61.3,,,
602,,,,,,
603,205.0,WISE 0206+2640,58.4,,,
604,,,,,,
605,206.0,WISE 0221+3842,73.1,,,
606,,,,,,
607,207.0,WISE 0223-2932,47,,,
608,,,,,,
609,208.0,WISE 0226-0211,91,,,
610,,,,,,
611,209.0,WISE 0241-3653,53.8,,,
612,,,,,,
613,210.0,WISE 0245-3450,56.1,,,
614,,,,,,
615,211.0,WISE 0247+3725,57.1,,,
616,,,,,,
617,212.0,WISE 0305+3954,75,,,
618,,,,,,
619,213.0,WISE 0307+2904,82.8,,,
620,,,,,,
621,214.0,WISE 0313+7807,28,,,
622,,,,,,
623,215.0,WISE 0316+4307,106.3,,,
624,,,,,,
625,216.0,WISE 0321-7347,84.8,,,
626,,,,,,
627,217.0,WISE 0323-6025,45.3,,,
628,,,,,,
629,218.0,WISE 0325-3854,51.2,,,
630,,,,,,
631,219.0,WISE 0325+0831,36.5,,,
632,,,,,,
633,220.0,WISE 0333-5856,54.8,,,
634,,,,,,
635,221.0,WISE 0335+4310,45.7,,,
636,,,,,,
637,222.0,WISE 0336-0143,55.4,,,
638,,,,,,
639,223.0,WISE 0350-5658,17.7,,,
640,,,,,,
641,224.0,WISE 0359-5401,19.2,,,
642,,,,,,
643,225.0,WISE 0410+1502,20,6,1.17,
644,,,,,,
645,226.0,WISE 0410+1411,85.8,,,
646,,,,,,
647,227.0,WISE 0413-4750,66.2,,,
648,,,,,,
649,228.0,WISE 0448-1935,69.8,,,
650,,,,,,
651,229.0,WISE 0458+6434A,35.9,15,4.2,
652,,,,,,
653,230.0,WISE 0458+6434B,35.9,10,3.8,
654,,,,,,
655,231.0,WISE 0500-1223,47,,,
656,,,,,,
657,232.0,WISE 0513+0608,44.7,,,
658,,,,,,
659,233.0,WISE 0525+6739,98.2,,,
660,,,,,,
661,234.0,WISE 0528-3308,57.4,,,
662,,,,,,
663,235.0,WISE 0535-7500,47,,,
664,,,,,,
665,236.0,WISE 0539-1034,84.8,,,
666,,,,,,
667,237.0,WISE 0542-1628,50.6,,,
668,,,,,,
669,238.0,WISE 0607+2429,25.4,,,
670,,,,,,
671,239.0,WISE 0611-0410,57.7,,,
672,,,,,,
673,240.0,WISE 0612-4920,95.2,,,
674,,,,,,
675,241.0,WISE 0612-3036,64.9,,,
676,,,,,,
677,242.0,WISE 0614+3912,50.2,,,
678,,,,,,
679,243.0,WISE 0614+0951,51.5,,,
680,,,,,,
681,244.0,WISE 0623-0456,37.5,,,
682,,,,,,
683,245.0,WISE 0625+5646,67.2,,,
684,,,,,,
685,246.0,WISE 0627-1114,37.2,,,
686,,,,,,
687,247.0,WISE 0647-6232,28,,,
688,,,,,,
689,248.0,WISE 0656+4205,54.1,,,
690,,,,,,
691,249.0,WISE 0713-2917,23.2,,,
692,,,,,,
693,250.0,WISE 0723+3403,45.7,,,
694,,,,,,
695,251.0,WISE 0733+7544,78.3,,,
696,,,,,,
697,252.0,WISE 0734-7157,34.9,,,
698,,,,,,
699,253.0,WISE 0744+5628,47.3,,,
700,,,,,,
701,254.0,WISE 0750+2725,51.5,,,
702,,,,,,
703,255.0,WISE 0751-7634,39.1,,,
704,,,,,,
705,256.0,WISE 0759-4904,38.8,,,
706,,,,,,
707,257.0,WISE 0811-8051,32,,,
708,,,,,,
709,258.0,WISE 0812+4021,63.6,,,
710,,,,,,
711,259.0,WISE 0819-0335,46,,,
712,,,,,,
713,260.0,WISE 0821+1443,68.2,,,
714,,,,,,
715,261.0,WISE 0836-1859,72.4,,,
716,,,,,,
717,262.0,WISE 0857+5604,42.1,,,
718,,,,,,
719,263.0,WISE 0906+4735,51.5,,,
720,,,,,,
721,264.0,WISE 0929+0409,64.9,,,
722,,,,,,
723,265.0,WISE 0952+1955,72.1,,,
724,,,,,,
725,266.0,WISE 1018-2445,47.6,,,
726,,,,,,
727,267.0,WISE 1019+6529,56.8,,,
728,,,,,,
729,268.0,WISE 1039-1600,47.3,,,
730,,,,,,
731,269.0,WISE 1042-3842,53.2,,,
732,,,,,,
733,270.0,WISE 1051-2138,40.8,,,
734,,,,,,
735,271.0,WISE 1122+2550,57.7,,,
736,,,,,,
737,272.0,WISE 1124-0421,50.6,,,
738,,,,,,
739,273.0,WISE 1147-2040,102,,,
740,,,,,,
741,274.0,WISE 1150+6302,32.9,,,
742,,,,,,
743,275.0,WISE 1217+1626A,34.2,12,,
744,,,,,,
745,276.0,WISE 1217+1626B,34.2,6,,
746,,,,,,
747,277.0,WISE 1225-1013,55.4,,,
748,,,,,,
749,278.0,WISE 1311+0122,44.4,,,
750,,,,,,
751,279.0,WISE 1311+3629,86.1,,,
752,,,,,,
753,280.0,WISE 1318-1758,32.9,,,
754,,,,,,
755,281.0,WISE 1320+6034,56.1,,,
756,,,,,,
757,282.0,WISE 1322-2340,33.9,,,
758,,,,,,
759,283.0,WISE 1348+6603,91,,,
760,,,,,,
761,284.0,WISE 1405+5534,25.3,30,0.86,
762,,,,,,
763,285.0,WISE 1433-0837,84.8,,,
764,,,,,,
765,286.0,WISE 1436-1814,60,,,
766,,,,,,
767,287.0,WISE 1457+5815,52.2,,,
768,,,,,,
769,288.0,WISE 1506+7027,11.1,,,
770,,,,,,
771,289.0,WISE 1517+0529,72.4,,,
772,,,,,,
773,290.0,WISE 1519+7009,50.9,,,
774,,,,,,
775,291.0,WISE 1523+3125,84.5,,,
776,,,,,,
777,292.0,WISE 1541-2250,20,,,
778,,,,,,
779,293.0,WISE 1542+2230,41.1,,,
780,,,,,,
781,294.0,WISE 1612-3420,55.4,,,
782,,,,,,
783,295.0,WISE 1614+1739,32.6,,,
784,,,,,,
785,296.0,WISE 1617+1807,50.2,,,
786,,,,,,
787,297.0,WISE 1622-0959,52.2,,,
788,,,,,,
789,298.0,WISE 1627+3255,50.2,,,
790,,,,,,
791,299.0,WISE 1639-6847,16.3,,,
792,,,,,,
793,300.0,WISE 1647+5632,28,,,
794,,,,,,
795,301.0,WISE 1653+4444,39.5,,,
796,,,,,,
797,302.0,WISE 1711+3500,60.3,,,
798,,,,,,
799,303.0,WISE 1717+6129,72.7,,,
800,,,,,,
801,304.0,WISE 1721+1117,62.3,,,
802,,,,,,
803,305.0,WISE 1728+5716,97.8,,,
804,,,,,,
805,306.0,WISE 1738+2732,20,,,
806,,,,,,
807,307.0,WISE 1741+2553,18.9,,,
808,,,,,,
809,308.0,WISE 1746-0338,83.8,,,
810,,,,,,
811,309.0,WISE 1800+0134,28.7,57,,
812,,,,,,
813,310.0,WISE 1804+3117,30,,,
814,,,,,,
815,311.0,WISE 1809+3838,74.4,,,
816,,,,,,
817,312.0,WISE 1812+2721,47,,,
818,,,,,,
819,313.0,WISE 1828+2650,36,,,
820,,,,,,
821,314.0,WISE 1830+4542,107,,,
822,,,,,,
823,315.0,WISE 1841+7000,131.1,,,
824,,,,,,
